Started render process: /usr/bin/melt /tmp/kdenlive_rendering_r21457.mlt.mlt -profile square_ntsc -consumer avformat:/Ember Library/Ember satellite projects/personal/2017oct04/untitled.mp4 progress=1 properties=x264-medium f=mp4 vcodec=libx264 acodec=aac g=120 crf=23 ab=160k preset=ultrafast threads=4 real_time=-1
melt: Current Frame: 1, percentage: 0
melt: Current Frame: 6, percentage: 0
melt: Current Frame: 13, percentage: 0
melt: Current Frame: 20, percentage: 0
melt: Current Frame: 28, percentage: 0
melt: Current Frame: 35, percentage: 0
melt: Current Frame: 42, percentage: 0
melt: Current Frame: 51, percentage: 0
melt: Current Frame: 57, percentage: 0
melt: Current Frame: 64, percentage: 0
melt: Current Frame: 71, percentage: 0
melt: Current Frame: 79, percentage: 0
melt: Current Frame: 86, percentage: 0
melt: Current Frame: 94, percentage: 0
melt: Current Frame: 102, percentage: 0
melt: Current Frame: 109, percentage: 1
melt: Current Frame: 116, percentage: 1
melt: Current Frame: 122, percentage: 1
melt: Current Frame: 128, percentage: 1
melt: Current Frame: 134, percentage: 1
melt: Current Frame: 138, percentage: 1
melt: Current Frame: 141, percentage: 1
melt: Current Frame: 143, percentage: 1
melt: Current Frame: 145, percentage: 1
melt: Current Frame: 148, percentage: 1
melt: Current Frame: 150, percentage: 1
melt: Current Frame: 153, percentage: 1
melt: Current Frame: 157, percentage: 1
melt: Current Frame: 161, percentage: 1
melt: Current Frame: 165, percentage: 1
melt: Current Frame: 167, percentage: 1
melt: Current Frame: 170, percentage: 1
melt: Current Frame: 172, percentage: 1
melt: Current Frame: 175, percentage: 1
melt: Current Frame: 177, percentage: 1
melt: Current Frame: 179, percentage: 1
melt: Current Frame: 182, percentage: 1
melt: Current Frame: 184, percentage: 1
melt: Current Frame: 187, percentage: 1
melt: Current Frame: 190, percentage: 1
melt: Current Frame: 193, percentage: 1
melt: Current Frame: 196, percentage: 1
melt: Current Frame: 199, percentage: 1
melt: Current Frame: 202, percentage: 1
melt: Current Frame: 205, percentage: 1
melt: Current Frame: 210, percentage: 2
melt: Current Frame: 215, percentage: 2
melt: Current Frame: 220, percentage: 2
melt: Current Frame: 225, percentage: 2
melt: Current Frame: 231, percentage: 2
melt: Current Frame: 237, percentage: 2
melt: Current Frame: 243, percentage: 2
melt: Current Frame: 249, percentage: 2
melt: Current Frame: 255, percentage: 2
melt: Current Frame: 259, percentage: 2
melt: Current Frame: 262, percentage: 2
melt: Current Frame: 270, percentage: 2
melt: Current Frame: 278, percentage: 2
melt: Current Frame: 283, percentage: 2
melt: Current Frame: 290, percentage: 2
melt: Current Frame: 299, percentage: 2
melt: Current Frame: 308, percentage: 2
melt: Current Frame: 316, percentage: 3
melt: Current Frame: 318, percentage: 3
melt: Current Frame: 324, percentage: 3
melt: Current Frame: 333, percentage: 3
melt: Current Frame: 342, percentage: 3
melt: Current Frame: 350, percentage: 3
melt: Current Frame: 359, percentage: 3
melt: Current Frame: 367, percentage: 3
melt: Current Frame: 374, percentage: 3
melt: Current Frame: 381, percentage: 3
melt: Current Frame: 383, percentage: 3
melt: Current Frame: 389, percentage: 3
melt: Current Frame: 396, percentage: 3
melt: Current Frame: 403, percentage: 3
melt: Current Frame: 410, percentage: 3
melt: Current Frame: 418, percentage: 4
melt: Current Frame: 425, percentage: 4
melt: Current Frame: 432, percentage: 4
melt: Current Frame: 439, percentage: 4
melt: Current Frame: 447, percentage: 4
melt: Current Frame: 455, percentage: 4
melt: Current Frame: 463, percentage: 4
melt: Current Frame: 470, percentage: 4
melt: Current Frame: 479, percentage: 4
melt: Current Frame: 487, percentage: 4
melt: Current Frame: 495, percentage: 4
melt: Current Frame: 504, percentage: 4
melt: Current Frame: 505, percentage: 4
melt: Current Frame: 507, percentage: 4
melt: Current Frame: 515, percentage: 4
melt: Current Frame: 520, percentage: 5
melt: Current Frame: 526, percentage: 5
melt: Current Frame: 531, percentage: 5
melt: Current Frame: 538, percentage: 5
melt: Current Frame: 543, percentage: 5
melt: Current Frame: 548, percentage: 5
melt: Current Frame: 556, percentage: 5
melt: Current Frame: 557, percentage: 5
melt: Current Frame: 561, percentage: 5
melt: Current Frame: 563, percentage: 5
melt: Current Frame: 566, percentage: 5
melt: Current Frame: 569, percentage: 5
melt: Current Frame: 572, percentage: 5
melt: Current Frame: 575, percentage: 5
melt: Current Frame: 578, percentage: 5
melt: Current Frame: 581, percentage: 5
melt: Current Frame: 584, percentage: 5
melt: Current Frame: 587, percentage: 5
melt: Current Frame: 591, percentage: 5
melt: Current Frame: 593, percentage: 5
melt: Current Frame: 596, percentage: 5
melt: Current Frame: 600, percentage: 5
melt: Current Frame: 603, percentage: 5
melt: Current Frame: 605, percentage: 5
melt: Current Frame: 608, percentage: 5
melt: Current Frame: 611, percentage: 5
melt: Current Frame: 614, percentage: 5
melt: Current Frame: 617, percentage: 5
melt: Current Frame: 620, percentage: 5
melt: Current Frame: 623, percentage: 6
melt: Current Frame: 626, percentage: 6
melt: Current Frame: 629, percentage: 6
melt: Current Frame: 632, percentage: 6
