Started render process: /usr/bin/melt /tmp/kdenlive_rendering_n19044.mlt.mlt -profile /home/kyan/.local/share/kdenlive/profiles/customprofile0 -consumer avformat:/home/kyan/kdenlive/2017sept27n3.mp4 progress=1 properties=x264-medium f=mp4 vcodec=libx264 acodec=aac g=120 crf=23 ab=160k preset=faster threads=1 real_time=-1
melt: Current Frame: 5, percentage: 0
melt: Current Frame: 14, percentage: 0
melt: Current Frame: 25, percentage: 0
melt: Current Frame: 35, percentage: 0
melt: Current Frame: 45, percentage: 0
melt: Current Frame: 55, percentage: 0
melt: Current Frame: 65, percentage: 0
melt: Current Frame: 75, percentage: 0
melt: Current Frame: 82, percentage: 0
melt: Current Frame: 91, percentage: 0
melt: Current Frame: 101, percentage: 0
melt: Current Frame: 110, percentage: 0
melt: Current Frame: 119, percentage: 0
melt: Current Frame: 125, percentage: 0
melt: Current Frame: 133, percentage: 0
melt: Current Frame: 143, percentage: 0
melt: Current Frame: 152, percentage: 0
melt: Current Frame: 161, percentage: 0
melt: Current Frame: 171, percentage: 0
melt: Current Frame: 180, percentage: 0
melt: Current Frame: 190, percentage: 0
melt: Current Frame: 199, percentage: 0
melt: Current Frame: 209, percentage: 0
melt: Current Frame: 219, percentage: 0
melt: Current Frame: 228, percentage: 0
melt: Current Frame: 238, percentage: 0
melt: Current Frame: 248, percentage: 0
melt: Current Frame: 257, percentage: 0
melt: Current Frame: 266, percentage: 0
melt: Current Frame: 276, percentage: 0
melt: Current Frame: 286, percentage: 0
melt: Current Frame: 296, percentage: 0
melt: Current Frame: 306, percentage: 0
melt: Current Frame: 315, percentage: 0
melt: Current Frame: 326, percentage: 0
melt: Current Frame: 336, percentage: 0
melt: Current Frame: 346, percentage: 0
melt: Current Frame: 356, percentage: 0
melt: Current Frame: 362, percentage: 0
melt: Current Frame: 371, percentage: 0
melt: Current Frame: 380, percentage: 0
melt: Current Frame: 387, percentage: 0
melt: Current Frame: 395, percentage: 0
melt: Current Frame: 405, percentage: 0
melt: Current Frame: 415, percentage: 0
melt: Current Frame: 425, percentage: 0
melt: Current Frame: 435, percentage: 0
melt: Current Frame: 445, percentage: 0
melt: Current Frame: 455, percentage: 0
melt: Current Frame: 465, percentage: 0
melt: Current Frame: 475, percentage: 0
melt: Current Frame: 485, percentage: 0
melt: Current Frame: 495, percentage: 0
melt: Current Frame: 505, percentage: 0
melt: Current Frame: 515, percentage: 0
melt: Current Frame: 525, percentage: 0
melt: Current Frame: 533, percentage: 0
melt: Current Frame: 543, percentage: 0
melt: Current Frame: 553, percentage: 0
melt: Current Frame: 561, percentage: 0
melt: Current Frame: 568, percentage: 0
melt: Current Frame: 576, percentage: 0
melt: Current Frame: 581, percentage: 0
melt: Current Frame: 587, percentage: 0
melt: Current Frame: 594, percentage: 0
melt: Current Frame: 602, percentage: 0
melt: Current Frame: 612, percentage: 0
melt: Current Frame: 622, percentage: 0
melt: Current Frame: 632, percentage: 0
melt: Current Frame: 642, percentage: 0
melt: Current Frame: 652, percentage: 0
melt: Current Frame: 659, percentage: 0
melt: Current Frame: 667, percentage: 0
melt: Current Frame: 676, percentage: 0
melt: Current Frame: 686, percentage: 0
melt: Current Frame: 696, percentage: 0
melt: Current Frame: 706, percentage: 0
melt: Current Frame: 716, percentage: 0
melt: Current Frame: 727, percentage: 0
melt: Current Frame: 735, percentage: 0
melt: Current Frame: 741, percentage: 0
melt: Current Frame: 748, percentage: 0
melt: Current Frame: 755, percentage: 0
melt: Current Frame: 759, percentage: 0
melt: Current Frame: 764, percentage: 0
melt: Current Frame: 769, percentage: 0
melt: Current Frame: 777, percentage: 0
melt: Current Frame: 783, percentage: 0
melt: Current Frame: 788, percentage: 0
melt: Current Frame: 796, percentage: 0
melt: Current Frame: 803, percentage: 0
melt: Current Frame: 809, percentage: 0
melt: Current Frame: 817, percentage: 0
melt: Current Frame: 827, percentage: 0
melt: Current Frame: 838, percentage: 0
melt: Current Frame: 848, percentage: 0
melt: Current Frame: 858, percentage: 0
melt: Current Frame: 868, percentage: 0
melt: Current Frame: 874, percentage: 0
melt: Current Frame: 879, percentage: 0
melt: Current Frame: 884, percentage: 0
melt: Current Frame: 889, percentage: 0
melt: Current Frame: 894, percentage: 0
melt: Current Frame: 898, percentage: 0
melt: Current Frame: 908, percentage: 0
melt: Current Frame: 918, percentage: 0
melt: Current Frame: 928, percentage: 1
melt: Current Frame: 933, percentage: 1
melt: Current Frame: 942, percentage: 1
melt: Current Frame: 947, percentage: 1
melt: Current Frame: 953, percentage: 1
melt: Current Frame: 960, percentage: 1
melt: Current Frame: 968, percentage: 1
melt: Current Frame: 973, percentage: 1
melt: Current Frame: 980, percentage: 1
melt: Current Frame: 986, percentage: 1
melt: Current Frame: 992, percentage: 1
melt: Current Frame: 998, percentage: 1
melt: Current Frame: 1005, percentage: 1
