Started render process: /usr/bin/melt /tmp/kdenlive_rendering_J25573.mlt.mlt -profile /home/kyan/.local/share/kdenlive/profiles/customprofile0 -consumer avformat:/home/kyan/kdenlive/2017sept27out.mp4 progress=1 properties=x264-medium f=mp4 vcodec=libx264 acodec=aac g=120 crf=15 ab=192k preset=faster threads=1 real_time=-1
melt: Current Frame: 1, percentage: 0
melt: Current Frame: 5, percentage: 0
melt: Current Frame: 10, percentage: 0
melt: Current Frame: 16, percentage: 0
melt: Current Frame: 24, percentage: 0
melt: Current Frame: 33, percentage: 0
melt: Current Frame: 43, percentage: 0
melt: Current Frame: 52, percentage: 0
melt: Current Frame: 62, percentage: 0
melt: Current Frame: 72, percentage: 0
melt: Current Frame: 81, percentage: 0
melt: Current Frame: 86, percentage: 0
melt: Current Frame: 94, percentage: 0
melt: Current Frame: 100, percentage: 0
melt: Current Frame: 106, percentage: 0
melt: Current Frame: 113, percentage: 0
melt: Current Frame: 121, percentage: 0
melt: Current Frame: 130, percentage: 0
melt: Current Frame: 140, percentage: 0
melt: Current Frame: 149, percentage: 0
melt: Current Frame: 158, percentage: 0
melt: Current Frame: 166, percentage: 0
melt: Current Frame: 175, percentage: 0
melt: Current Frame: 183, percentage: 0
melt: Current Frame: 192, percentage: 0
melt: Current Frame: 200, percentage: 0
melt: Current Frame: 209, percentage: 0
melt: Current Frame: 218, percentage: 0
melt: Current Frame: 227, percentage: 0
melt: Current Frame: 236, percentage: 0
melt: Current Frame: 245, percentage: 0
melt: Current Frame: 253, percentage: 0
melt: Current Frame: 262, percentage: 0
melt: Current Frame: 270, percentage: 0
melt: Current Frame: 279, percentage: 0
melt: Current Frame: 287, percentage: 0
melt: Current Frame: 295, percentage: 0
melt: Current Frame: 302, percentage: 0
melt: Current Frame: 307, percentage: 0
melt: Current Frame: 313, percentage: 0
melt: Current Frame: 320, percentage: 0
melt: Current Frame: 325, percentage: 0
melt: Current Frame: 330, percentage: 0
melt: Current Frame: 336, percentage: 0
melt: Current Frame: 344, percentage: 0
melt: Current Frame: 351, percentage: 0
melt: Current Frame: 359, percentage: 0
melt: Current Frame: 366, percentage: 0
melt: Current Frame: 373, percentage: 0
