"{""identifier""",@fmdr_s3,,,
"{""identifier""",01EinWanderer,"[""Aegir"", ""metal"", ""music""]}",,
"{""identifier""",1.TheSecretLake,"[""The Secret Lake"", ""books""]}",,
"{""identifier""",2014dec151,"[""Fingers"", ""book""]}",,
"{""identifier""",2015-feb-04,"[""Word"", ""Excel""]}",,
"{""identifier""",2015dec25a26-book,,,
"{""identifier""",2015feb13ff,"[""Firefox"", ""free software"", ""bug testing"", ""bug""]}",,
"{""identifier""",2015jan08ddt,,,
"{""identifier""",2016mar10a11,,,
"{""identifier""",2016sept16_201610,Halloween,,
"{""identifier""",2017apr03a04n12Flapcity,game,,
"{""identifier""",2017apr03a04n17FlapcityData,a,,
"{""identifier""",2017apr17n2MaxAfterLab,"[""Arduino"", ""Max MSP""]}",,
"{""identifier""",2017mar20,"[""Arduino","RGB LED"", ""Humidity and temperature sensing""]}",
"{""identifier""",2017mar27Arduino,Arduino,,
"{""identifier""",2017may04.app,"[""Mono"", ""Unity""]}",,
"{""identifier""",2017nov08Session22017nov09n37,music,,
"{""identifier""",2017nov18n2,"[""music"", ""musique concr\u00e8te"", ""industrial"", ""noise"", ""experimental""]}",,
"{""identifier""",2017nov30n25,"[""musique concr\u00e8te"", ""noise"", ""experimental"", ""avant-garde"", ""industrial""]}",,
"{""identifier""",2017nov30R22017dec01n8,music,,
"{""identifier""",2017oct12n2,sound,,
"{""identifier""",2017oct18-FilmSound,"[""film"", ""sound""]}",,
"{""identifier""",2017oct18n2,"[""Film"", ""split audio""]}",,
"{""identifier""",2017oct26n13,"[""Experimental"", ""musique concr\u00e8te"", ""noise music"", ""avant-garde"", ""electronic music""]}",,
"{""identifier""",2017sept26n6,music,,
"{""identifier""",2017sept27_201709,video,,
"{""identifier""",2017sept27n3,v,,
"{""identifier""",2018apr09n6CopyN7ScreenCostWithAudio,"[""Web development"", ""tool"", ""software"", ""app"", ""screencast"", ""free software"", ""libre software"", ""open source software""]}",,
