[0x000022ec] | Undefined            | INFO  | 2017-09-28 01:33:54,276 | --------------------------------------------------------------------------------
[0x000022ec] | Undefined            | INFO  | 2017-09-28 01:33:54,276 | Loaded log config from C:\ProgramData\Blackmagic Design\DaVinci Resolve\Preferences\log-conf.xml
[0x000022ec] | Undefined            | INFO  | 2017-09-28 01:33:54,276 | --------------------------------------------------------------------------------
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:54,279 | Resolve Module Handle 00007FF6C2E40000
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:56,924 | Updating display GPU information...
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:57,044 | Found correct name from registry for device : I, provider Intel Corporation
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:57,044 | Found Intel Device: Intel(R) Iris(TM) Graphics 540
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:57,045 | GPU Intel(R) Iris(TM) Graphics 540 is used for display
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,684 | GPUs detected: 1 integrated, 0 discrete, 1 OpenCL.Graphics interop capable.
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,684 | Detected uptime 671s
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,684 | GPU Name = 'Intel(R) Iris(TM) Graphics 540', Main display = 1
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,684 | Only 1 Intel display GPU found. Using OPENCL for processing.
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,684 | Setting LsManager.3.NumGPUs = 1
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,685 | Setting LsManager.3.DisplayGPUName = Intel(R) Iris(TM) Graphics 540
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,685 | Setting LsManager.3.DisplayGPUIndex = 0
[0x000022ec] | IO                   | INFO  | 2017-09-28 01:33:58,685 | RED InitializeSdk with library path at C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries
[0x000022ec] | IO                   | INFO  | 2017-09-28 01:33:58,815 | Red SDK init is successful
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,815 | 0 RED rocket cards available
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,815 | Setting Local.DtManager.1.Red.Threads = 0
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,829 | Decklink model name: '', version: ''
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,831 | Installed custom font: Open Sans
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:58,832 | Installed custom font: Open Sans Semibold
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:33:59,014 | Finished loading Application style sheet
[0x000022ec] | SyManager.MediaStorage | INFO  | 2017-09-28 01:33:59,260 | Creating default fsbookmarklist file: C:\ProgramData\Blackmagic Design\DaVinci Resolve\Preferences\fsbookmarklist.conf
[0x000033dc] | LeManager            | INFO  | 2017-09-28 01:33:59,434 | 521, 38
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,374 | Memory config: reserved=4000M pinned=3000M log=0
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,374 | Using default pooled memory manager
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,565 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,675 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,726 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,782 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,867 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:00,951 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:01,027 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | BtCommon             | INFO  | 2017-09-28 01:34:01,086 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000022ec] | SyManager            | INFO  | 2017-09-28 01:34:01,172 | Total: 20, NumDtThreads: 8, NumComms: 0, NumSites: 1

[0x000022ec] | SyManager            | INFO  | 2017-09-28 01:34:01,172 | Lookaheads -> playback = 20, record = 20, stop = 2

[0x00002054] | GsManager            | INFO  | 2017-09-28 01:34:01,179 | Gs Processor Thread ----- (-406715552)

[0x000022ec] | DtManager            | INFO  | 2017-09-28 01:34:01,183 | Using 8 generic IO threads
[0x000022ec] | DtManager            | INFO  | 2017-09-28 01:34:01,183 | Total of 16 IO threads (including 8 generic and 8 Red decode threads)
[0x00002048] | DtManager            | INFO  | 2017-09-28 01:34:01,184 | Dt Data Handler Thread Started
[0x00002044] | DtManager            | INFO  | 2017-09-28 01:34:01,186 | Dt Worker Thread Started
[0x00002050] | DtManager            | INFO  | 2017-09-28 01:34:01,187 | Dt Worker Thread Started
[0x00002020] | DtManager            | INFO  | 2017-09-28 01:34:01,188 | Dt Worker Thread Started
[0x0000202c] | DtManager            | INFO  | 2017-09-28 01:34:01,188 | Dt Worker Thread Started
[0x00002038] | DtManager            | INFO  | 2017-09-28 01:34:01,188 | Dt Worker Thread Started
[0x00002068] | DtManager            | INFO  | 2017-09-28 01:34:01,188 | Dt Worker Thread Started
[0x00003108] | DtManager            | INFO  | 2017-09-28 01:34:01,189 | Dt Worker Thread Started
[0x0000206c] | DtManager            | INFO  | 2017-09-28 01:34:01,189 | Dt Worker Thread Started
[0x00002014] | DtManager            | INFO  | 2017-09-28 01:34:01,190 | Dt Worker Thread Started
