@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2018/03/13 16:15:13:280',1,519,163,0.41,0.38,0.065061
2,'2018/03/13 16:15:13:298',1,519,163,0.41,0.38,0.065061
3,'2018/03/13 16:15:13:312',1,519,163,0.41,0.38,0.065061
4,'2018/03/13 16:15:13:329',1,519,163,0.41,0.38,0.065061
5,'2018/03/13 16:15:13:345',1,519,163,0.41,0.38,0.065061
6,'2018/03/13 16:15:13:362',1,519,163,0.41,0.38,0.065061
7,'2018/03/13 16:15:13:379',1,519,163,0.41,0.38,0.065061
8,'2018/03/13 16:15:13:396',1,519,163,0.41,0.38,0.065061
9,'2018/03/13 16:15:13:412',1,519,163,0.41,0.38,0.065061
10,'2018/03/13 16:15:13:429',1,519,163,0.41,0.38,0.065061
11,'2018/03/13 16:15:13:446',1,519,163,0.41,0.38,0.065061
12,'2018/03/13 16:15:13:463',1,519,163,0.41,0.38,0.065061
13,'2018/03/13 16:15:13:482',1,519,163,0.41,0.38,0.065061
14,'2018/03/13 16:15:13:497',1,519,163,0.41,0.38,0.065061
15,'2018/03/13 16:15:13:514',1,519,163,0.41,0.38,0.065061
16,'2018/03/13 16:15:13:532',1,519,163,0.41,0.38,0.065061
17,'2018/03/13 16:15:13:546',1,519,163,0.41,0.38,0.065061
18,'2018/03/13 16:15:13:563',1,519,163,0.41,0.38,0.065061
19,'2018/03/13 16:15:13:579',1,519,163,0.41,0.38,0.065061
20,'2018/03/13 16:15:13:595',1,519,163,0.41,0.38,0.065061
21,'2018/03/13 16:15:13:612',1,519,163,0.41,0.38,0.065061
22,'2018/03/13 16:15:13:629',1,519,163,0.41,0.38,0.065061
23,'2018/03/13 16:15:13:645',1,519,163,0.41,0.38,0.065061
24,'2018/03/13 16:15:13:662',1,519,163,0.41,0.38,0.065061
25,'2018/03/13 16:15:13:679',1,519,163,0.41,0.38,0.065061
26,'2018/03/13 16:15:13:695',1,519,163,0.41,0.38,0.065061
27,'2018/03/13 16:15:13:712',1,519,163,0.41,0.38,0.065061
